file_path,last_commit_hash,last_commit_date_iso,last_commit_subject
"games/two-player/uno-clone/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/uno-clone/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/two-player/uno-clone/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"images/background-removed-background-removed.png","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"images/craiyon_213911_image.png","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"index.html","a84ba94f317048507bb2e1cb192f49a7a36638b4","2026-04-23T23:01:27-04:00","Add site notifications center and update release logging rules"
"privacy.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"scripts/fetch-infinite-craft-recipes.mjs","ac4ef21d6bc4214311fc8b5c05b4bc33bfb1c3a9","2026-04-22T21:21:39-04:00","Use shared Infinite Craft recipe chunks"
"scripts/remove-completed-placeholder-blocks.ps1","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"scripts/split-infinite-craft-recipes.mjs","ac4ef21d6bc4214311fc8b5c05b4bc33bfb1c3a9","2026-04-22T21:21:39-04:00","Use shared Infinite Craft recipe chunks"
"shared/ads.js","7a1e2028798af6c5edcf562af52b1c321ba42cad","2026-04-23T22:43:09-04:00","Add owner 2048 admin tools and fix double-move bug"
"shared/game-shell.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"shared/site-footer.js","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"shared/site-notices.js","a84ba94f317048507bb2e1cb192f49a7a36638b4","2026-04-23T23:01:27-04:00","Add site notifications center and update release logging rules"
"shared/updates-page.js","a84ba94f317048507bb2e1cb192f49a7a36638b4","2026-04-23T23:01:27-04:00","Add site notifications center and update release logging rules"
"styles.css","a84ba94f317048507bb2e1cb192f49a7a36638b4","2026-04-23T23:01:27-04:00","Add site notifications center and update release logging rules"
"updates.html","a84ba94f317048507bb2e1cb192f49a7a36638b4","2026-04-23T23:01:27-04:00","Add site notifications center and update release logging rules"
"updates/README.md","a84ba94f317048507bb2e1cb192f49a7a36638b4","2026-04-23T23:01:27-04:00","Add site notifications center and update release logging rules"
"updates/logs.md","a84ba94f317048507bb2e1cb192f49a7a36638b4","2026-04-23T23:01:27-04:00","Add site notifications center and update release logging rules"
"valid-wordle-words.txt","4fa7e9b6289174c37648f68e6e0acec1d2064ed5","2026-04-23T16:34:03-04:00","Fix arcade UI issues and wire Pac-Man maze update"
